Event,Reference (Event),ID (Site),ID (Dataset),Site,Longitude,Latitude,Cont,Age min [ka],Age max [ka],Age [ka BP] (median),Age [ka BP] (mean),Reference (AgeModel),Depth [m],July WA-PLS,TTT std err [±] (reconstruction error for mean...),July-MAT,TTT std err [±] (reconstruction error for mean...),Annual WA-PLS,TTT std err [±] (reconstruction error for annu...),Annual-MAT,TTT std err [±] (reconstruction error for annu...),Total precip WA-PLS,Precip annual total err [±] (reconstruction error with WA-...),Total precip MAT,Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean from July ...),TTT std err [±] (reconstruction error for mean...),Precip annual total [mm/a] (reconstructed from July tempe...),Precip annual total err [±] (reconstruction error for annu...),MAAT [°C] (reconstructed from annual mea...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual mea...),Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean July tempe...),TTT std err [±] (reconstruction error for mean...),MAAT [°C] (reconstructed from annual pre...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual pre...),Precip annual total err [±] (reconstruction error for annu...),Elevation (masl),Type of data,Location type
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,45.49,48.81,46.79,46.89,AWI,758.8,12,4.24,7.5,3.96,-1.6,3.99,-4.4,3.64,305,161.23,332,131.33,11,2.27,296,129.88,-2,1.59,302,118.19,11.9,3.87,-1.7,3.16,300,49.02,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,46.16,50.15,47.83,47.92,AWI,791.5,13.1,4.24,7.2,3.57,-1,3.99,-5.4,3.3,297,161.29,290,134.86,11.3,2.27,294,129.91,-1.9,1.59,299,118.14,13.2,3.87,-0.9,3.16,305,49.03,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,46.98,51.4,48.85,48.95,AWI,824.2,12.8,4.24,6.8,3.49,-1.2,3.99,-5.3,3.32,286,161.23,337,133.52,11.1,2.27,295,129.89,-1.8,1.59,292,118.19,12.5,3.87,-1.3,3.16,298,48.98,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,47.83,52.82,49.85,49.98,AWI,856.9,11.7,4.24,9.6,3.49,-2,3.98,-3.4,3.3,330,161.22,308,134.26,10.9,2.27,324,129.82,-2.1,1.59,336,118.12,11.8,3.87,-2.3,3.16,302,48.95,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,48.88,53.91,50.93,51.09,AWI,892.9,11.5,4.24,8.4,3.46,-2.1,3.99,-4.6,3.26,317,161.27,319,132.12,11,2.27,311,129.85,-2.1,1.59,332,118.08,11.5,3.87,-2.4,3.16,301,49.02,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,50.18,55.22,51.95,52.26,AWI,929.9,11.6,4.24,7.5,3.44,-2.2,3.99,-5,3.28,292,161.27,341,131.35,10.6,2.27,286,129.85,-2.2,1.59,297,118.08,11.2,3.87,-2.3,3.17,305,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,51.22,56.56,52.98,53.38,AWI,966.9,11.2,4.24,7.5,3.38,-2.3,3.99,-4.2,3.25,306,161.21,343,130.44,10.5,2.27,303,129.82,-1.9,1.58,303,118.06,10.4,3.87,-3,3.16,300,48.96,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,51.96,57.87,54.15,54.42,AWI,1003.9,9.7,4.24,10,3.76,-3,3.99,-2.6,3.36,330,161.32,354,130.58,10,2.27,325,129.86,-2.5,1.59,337,118.23,10.1,3.87,-3.1,3.17,306,49.1,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,52.84,59.09,55.26,55.47,AWI,1040.9,10.3,4.24,7.9,3.45,-2.6,3.99,-3.9,3.34,318,161.3,374,132.72,10.2,2.27,300,129.92,-2.3,1.59,305,118.18,10.3,3.88,-2.7,3.17,309,49.13,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,53.52,60.28,56.25,56.45,AWI,1075.8,11,4.24,8,3.41,-2.4,3.99,-3.4,3.28,322,161.25,380,134.12,10.6,2.27,319,129.83,-2.4,1.59,330,118.11,10.9,3.87,-2.8,3.16,309,48.98,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,54.27,61.49,57.14,57.34,AWI,1107.3,11.1,4.24,10.5,3.75,-2.2,3.99,-0.8,3.71,322,161.3,436,145.33,10.9,2.27,330,129.89,-2.3,1.59,347,118.24,11.5,3.87,-2.3,3.17,304,49.12,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,54.98,62.59,58.07,58.24,AWI,1138.9,9.8,4.24,10.3,4.17,-3,3.99,-1.2,3.99,330,161.36,450,151.2,10.7,2.28,327,129.92,-2.6,1.59,352,118.3,9.9,3.88,-3,3.17,310,49.2,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,55.78,63.71,59,59.17,AWI,1170.4,11.9,4.24,7.5,4.1,-1.4,3.99,-4.7,3.97,286,161.27,326,131.53,10.9,2.28,308,129.99,-1.8,1.59,334,118.24,10.9,3.88,-1.9,3.17,302,49.12,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,56.39,64.87,59.9,60.1,AWI,1201.9,9.4,4.24,11.8,3.58,-3.7,3.99,1.7,3.53,330,161.31,600,141.07,10.8,2.27,352,129.89,-2.3,1.59,372,118.24,9.7,3.87,-3.7,3.17,310,49.14,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,57.15,66.04,60.87,61.05,AWI,1233.5,12.1,4.24,8,3.64,-1.5,3.99,-4.4,3.36,318,161.21,319,134.04,11.1,2.27,314,129.85,-2,1.59,310,118.16,12,3.87,-1.9,3.16,297,48.98,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,57.73,66.81,61.53,61.74,AWI,1257.1,13.6,4.24,13.5,3.93,-0.5,3.99,-1.7,3.63,285,161.25,145,134.91,11.1,2.27,283,129.86,-1.9,1.59,291,118,13.5,3.87,-0.7,3.16,301,48.95,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,58.6,68.18,62.65,62.83,AWI,1293.3,12.6,4.24,7.4,3.9,-0.9,3.99,-4.5,3.55,300,161.21,298,139.87,10.8,2.27,289,129.85,-2,1.59,289,118.12,12.2,3.87,-1.5,3.16,294,48.97,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,59.04,68.75,63.18,63.4,AWI,1312,9.9,4.24,7.9,3.4,-2.8,3.99,-3.7,3.28,326,161.22,340,131.64,10.1,2.27,307,129.84,-2.4,1.59,306,118.14,9,3.87,-4,3.16,300,49.07,3200,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,-0.13,0.04,-0.05,-0.05,AWI,0,24,2.14,24.8,1.59,12.5,2.43,11.9,1.92,1008,185.89,1016.7,132,23.6,1.52,934.9,144.42,11.3,1.85,959.8,148.27,23.6,1.62,11.5,1.95,893.4,120.11,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,0.01,1.87,0.6,0.69,AWI,7,23.7,2.14,24.4,1.63,11.5,2.43,11.3,2.41,1005,185.9,937.2,148.71,23.3,1.52,933.5,144.46,10.3,1.85,959.1,148.27,23.3,1.62,10.3,1.95,859.1,119.98,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,0.11,4.58,1.54,1.75,AWI,17,24.6,2.14,25.1,1.45,13.5,2.44,12.2,1.75,1019.6,186.55,990,118.72,23.7,1.52,867.6,144.38,11.2,1.87,884.8,148.45,24.4,1.64,12.1,2.01,847.1,121.08,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,0.43,6.67,2.49,2.79,AWI,27,24.5,2.14,25.3,1.72,13.6,2.44,13.9,3.36,940.8,187.42,936.2,201.99,23.7,1.52,724.6,144.43,10.9,1.85,740.6,148.37,23.4,1.64,11.1,1.98,740.5,120.96,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,0.9,8.08,3.93,4.07,AWI,40,24.4,2.14,24,1.55,13,2.44,9.5,1.93,952.4,186.91,749.1,129.84,23.6,1.53,815.5,146.25,10.7,1.89,839.8,149.52,23.9,1.68,11.4,2.02,758.9,121.84,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,1.55,9.99,5.19,5.28,AWI,52,24.3,2.14,25.1,1.65,13,2.44,12.7,2.51,923.8,186.7,909.3,170.04,23.6,1.52,759.1,144.36,11.1,1.85,781.5,148.32,23.3,1.64,10.9,1.97,773.6,120.64,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,2.35,12.37,6.76,6.86,AWI,67,24.7,2.14,24.4,1.48,13.5,2.44,10.7,1.77,980.3,186.63,882.1,122.51,23.8,1.52,825.2,144.36,11.4,1.85,838.2,148.34,24.1,1.63,11.6,1.96,812.5,120.43,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,3.05,13.93,7.82,7.92,AWI,77,24.1,2.14,24,1.53,12.7,2.44,9.8,1.78,914,186.79,789.6,122.44,23.2,1.52,743.3,144.42,10.2,1.85,750.1,148.32,22.8,1.63,10.4,1.97,763.3,120.56,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,3.74,14.95,8.96,8.99,AWI,87,24.1,2.14,24.5,1.6,12.6,2.44,11,1.98,904.8,186.75,862.4,124.48,23.3,1.52,740.3,144.35,10.6,1.85,751,148.29,23.3,1.63,10.5,1.97,747.7,120.49,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,4.4,16.05,10.02,10.06,AWI,97,23.3,2.14,24.1,1.56,10.7,2.44,9.7,1.91,799.7,186.25,749.1,126.57,22.9,1.52,668.6,144.37,8.7,1.85,676.9,148.27,21.9,1.63,8.9,1.96,696.4,120.23,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,5.57,16.92,11.26,11.19,AWI,107,22.7,2.14,23.1,1.46,9.6,2.43,9.1,1.76,891.8,185.92,838,115.79,22.5,1.52,820.4,144.42,8.9,1.85,847.1,148.34,22.4,1.63,8.2,1.95,781.8,120.09,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,6.41,18.12,12.5,12.32,AWI,117,21.4,2.14,24,1.55,6.9,2.43,11.2,2.13,713.2,185.76,1004,146.54,21.7,1.52,699.1,144.33,6.6,1.85,709.6,148.26,20.3,1.63,6,1.95,697.5,120.02,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,7.57,19.12,13.57,13.46,AWI,127,23.3,2.14,24.8,1.55,11.3,2.44,10.6,1.97,822.5,186.79,729.4,127.98,22.7,1.52,641.4,144.36,8.8,1.85,647.7,148.31,21.7,1.63,8.8,1.97,683.8,120.73,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,8.79,20.02,14.55,14.6,AWI,137,20.6,2.15,20.9,1.45,5.6,2.45,5.7,1.86,713.9,187.67,707.2,123.17,21.4,1.52,677.3,145.65,5.7,1.88,725.2,150.67,17.9,1.73,4.4,2,772.3,121.95,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,10.03,21.1,15.7,15.75,AWI,147,19.3,2.14,18.4,1.43,3.7,2.43,2.5,1.58,634.2,185.89,531.1,116.2,20.3,1.52,611.9,144.38,4.1,1.85,656.1,148.43,17.6,1.63,2.8,1.95,676.7,120.22,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,11.57,21.93,17.01,16.92,AWI,157,20,2.14,19,1.36,5.2,2.43,2.4,1.61,773.6,185.77,525.2,116.8,20.7,1.52,726.7,144.47,5.3,1.85,777.1,148.52,19.3,1.63,4.7,1.95,755.3,120.35,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,13.75,23.36,19.09,18.91,AWI,175,19.5,2.14,19,1.38,3.7,2.43,2.9,1.63,685.7,185.84,563.9,117.59,20.1,1.52,689.5,144.33,3.8,1.85,705.9,148.36,18.6,1.62,2.9,1.95,667.3,119.94,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,15.03,24.16,20.44,20.14,AWI,187,20.1,2.14,18.8,1.41,5.1,2.43,2.8,1.63,765.1,185.83,556.6,117.07,20.7,1.52,748.7,144.62,5.3,1.85,788.6,148.62,19.4,1.63,4.4,1.95,751.7,120.3,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,17.01,24.77,21.53,21.33,AWI,197,19.5,2.13,20.5,1.41,4.2,2.43,4.9,1.71,750.7,185.84,691.6,121.92,20.1,1.52,762,144.36,4.4,1.85,778.1,148.4,19.1,1.62,3.5,1.94,726.7,119.98,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,18.96,25.15,22.84,22.62,AWI,207,20.5,2.14,20.2,1.4,5.8,2.43,4.6,1.66,774.1,185.67,679,118.25,20.9,1.52,781.8,144.3,6.1,1.85,804,148.18,20.2,1.62,5.6,1.94,762.1,119.89,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,19.74,25.74,23.96,23.64,AWI,215,20.2,2.14,19.8,1.38,5.4,2.43,3.9,1.66,704.7,185.72,613.7,119.14,20.8,1.52,686.7,144.43,5.2,1.85,709.2,148.36,19,1.63,4.9,1.95,715.3,119.99,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,22.1,25.87,24.68,24.49,AWI,224,19.5,2.14,20.1,1.36,4.5,2.43,4.6,1.62,703.5,185.67,694.3,117.49,20.2,1.52,687.8,144.27,4.2,1.85,709.9,148.21,18.3,1.62,4,1.95,709.9,119.99,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,25.26,26.13,25.73,25.72,AWI,237,20,2.14,20.1,1.35,5.2,2.43,4.5,1.6,696.7,185.71,683.3,117.21,20.6,1.52,669.4,144.36,4.6,1.85,687.6,148.34,18.6,1.62,4.8,1.95,700.1,119.92,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,30.42,31.18,30.66,30.67,AWI,247,20.9,2.14,20.4,1.36,7.3,2.43,5.2,1.63,783.9,185.71,681.7,117.41,21.2,1.52,742.9,144.33,6.7,1.85,763.4,148.14,20,1.62,6.8,1.95,776.2,119.9,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,35.77,37.58,36.4,36.44,AWI,257,21.8,2.14,21.3,1.37,8.6,2.43,6,1.62,812.1,185.74,723.6,117.2,21.9,1.52,777.2,144.34,8.3,1.85,801.3,148.19,21,1.62,8,1.95,803.2,119.93,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,39.3,41.49,40.34,40.33,AWI,272,21.6,2.14,20.3,1.35,8.1,2.43,4.3,1.58,759.9,185.66,527.5,121.42,21.7,1.52,697.4,144.29,7.2,1.85,711.2,148.08,19.9,1.62,7,1.95,724.3,119.85,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,39.95,43,41.62,41.56,AWI,290,22.5,2.14,21.9,1.44,9.6,2.45,6.3,1.73,712.6,185.95,510.8,115.52,22.3,1.52,600.6,144.29,7.8,1.87,610.1,148.18,20.6,1.64,8.6,2.04,673.4,121.08,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,41.22,43.71,42.62,42.56,AWI,312,22,2.14,22.2,1.43,8.4,2.43,6.7,1.7,640,185.97,506.1,115.14,22.1,1.52,515.9,144.57,6.9,1.85,532.5,148.22,19.9,1.64,7,1.96,601.2,120.55,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,43,44.47,43.39,43.51,AWI,322,21.9,2.14,21.1,1.37,8.5,2.45,5,1.6,709.8,185.88,485,115.17,21.9,1.52,604.1,144.38,6.9,1.87,620.9,148.23,20.3,1.64,7.7,2.04,682.2,121.07,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,43.55,47.97,45.09,45.28,AWI,337,22.5,2.14,21.6,1.39,9.8,2.43,6,1.66,760.4,185.71,671.6,127.96,22.4,1.52,678.9,144.27,8.7,1.85,692.2,148.09,20.5,1.63,8.2,1.95,718.1,119.96,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,44.17,52.24,47.14,47.43,AWI,347,21.8,2.14,20.1,1.35,8.3,2.43,4,1.57,759.1,185.55,476.1,118.39,21.9,1.52,702.5,144.15,7.7,1.84,719.9,147.96,20.6,1.62,7.2,1.94,719.4,119.77,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,44.54,57.46,49.06,49.59,AWI,357,23.4,2.14,21.9,1.36,11.2,2.44,6.5,1.61,858.5,185.89,717,122.27,23,1.52,764.7,144.39,9.6,1.86,786.1,148.22,22.4,1.64,10.5,2.01,807,120.85,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,45.98,59.4,51.22,51.61,AWI,367,23.2,2.14,21.8,1.35,10.7,2.47,6.5,1.59,790.9,186.46,721.3,122,22.7,1.52,702.6,144.5,8.9,1.92,712.2,148.49,22.5,1.67,10.2,2.19,738.8,122.68,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,46.79,61.98,53.35,53.61,AWI,377,22.6,2.14,22,1.35,9.3,2.44,6.1,1.64,753.7,185.77,543.2,130.41,22.4,1.52,683.6,144.35,7.8,1.86,693.2,148.19,21.4,1.63,8.5,1.99,715.8,120.36,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,48.44,64.33,55.34,55.68,AWI,387,22.7,2.14,22.9,1.46,10,2.43,7.7,1.79,785.5,185.87,588.6,124.54,22.6,1.52,663.1,144.33,8.2,1.85,682.6,148.07,21.2,1.63,8.6,1.95,701.8,120.13,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,49.91,66.29,57.71,57.82,AWI,397,22.5,2.14,21.3,1.39,9.4,2.45,5.6,1.62,761.3,186.06,596.5,129.24,22.2,1.52,672.9,144.39,7.8,1.88,681.1,148.26,21.3,1.65,8.7,2.07,721.8,121.23,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,51.38,68.96,59.97,59.98,AWI,407,22.8,2.14,22.6,1.9,9.9,2.43,8.2,2.26,687,186.18,526.2,116.47,22.4,1.52,518.2,144.35,7.8,1.85,522.9,148.17,20.7,1.64,7.6,1.96,585.7,120.53,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,53.72,70.12,62.31,62.2,AWI,417,22.9,2.14,23.3,1.71,10.1,2.44,8.5,2.25,692.9,186.01,536.4,116.53,22.6,1.52,559.5,144.23,8.5,1.87,570.7,148.13,21.4,1.65,8.7,2.02,637.5,121.12,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,55.29,71.83,64.78,64.42,AWI,427,22.5,2.14,22,1.33,9.4,2.43,6.2,1.58,803.6,185.66,553.6,117.38,22.6,1.52,742.4,144.28,8.7,1.85,772.5,148.11,21,1.62,8.2,1.95,754.5,119.97,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,58.23,73.17,66.9,66.59,AWI,437,23.1,2.14,22,1.34,10.3,2.44,6.2,1.59,784.9,185.79,581.6,121.63,22.8,1.52,703,144.26,8.7,1.87,716.1,148.17,21.9,1.64,9.3,2.03,727,120.66,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,60.64,74.06,69.22,68.74,AWI,447,22.8,2.14,22.1,1.38,10.1,2.43,6.5,1.67,878.7,185.67,614.7,128.2,23,1.52,831.5,144.4,9.9,1.85,877.2,148.22,21.7,1.63,9.3,1.95,830,120.28,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,63.71,75.42,71.38,70.88,AWI,457,23.3,2.14,22.5,1.41,11.1,2.44,7.5,1.79,928,185.82,730,129.2,23,1.52,848.4,144.42,10,1.86,886.1,148.28,22.7,1.63,10.4,2,842.9,120.5,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,69.09,76.24,73.14,73.01,AWI,467,24.1,2.14,23.4,1.62,12.9,2.43,9.1,2.02,1008.6,186.09,847,129.72,23.7,1.52,951.6,145.28,12.3,1.87,999.5,149.01,24.3,1.66,12.6,1.98,925.7,120.85,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,71.34,77.23,74.54,74.5,AWI,474,22.8,2.14,21.7,1.64,10.8,2.43,6.8,2.02,912.8,185.82,681.1,150.4,22.4,1.52,835.7,144.25,10.1,1.85,847.6,148.21,22.6,1.62,9.6,1.95,833.2,119.95,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,71.52,77.48,74.76,74.71,AWI,475,23.9,2.14,26.7,1.38,12.9,2.44,17.2,1.68,996.2,186.37,1311.5,129.2,23.7,1.52,1067.1,144.56,14.3,1.85,1088,148.61,24.6,1.63,13.1,1.96,1026.4,120.28,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,71.96,78,75.18,75.13,AWI,477,23.1,2.14,26.6,1.67,11.2,2.44,17.1,2.19,851.6,186.66,1269.2,244.68,22.9,1.52,922.4,144.64,12.7,1.85,934.6,148.67,23.2,1.63,11.2,1.96,922.2,120.26,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,72.92,80.7,76.62,76.7,AWI,487,22.8,2.14,26.2,1.68,11.4,2.44,16.5,2.29,827.7,186.97,1209.8,270.94,22.8,1.52,895.6,144.71,13.3,1.86,925.5,148.73,22.8,1.65,11.5,1.97,944.6,120.44,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,73.54,84.99,77.83,78.25,AWI,497,24.7,2.14,26.7,1.48,14,2.44,16.9,2.12,1087.2,186.78,1391.3,142.34,24.3,1.52,1147.4,144.9,15.6,1.86,1185.5,149.04,25.6,1.65,14.1,1.97,1081.1,120.75,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,74.54,87.94,79.33,79.83,AWI,507,24.6,2.14,26.9,1.53,13.7,2.44,16.8,2.06,1083.2,186.48,1376.5,138.02,24.4,1.52,1130.5,144.89,14.9,1.86,1176.6,148.89,25.1,1.64,13.8,1.97,1063.5,120.89,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,75.35,90.82,80.88,81.43,AWI,517,25.3,2.14,26.3,1.57,15,2.45,16,2.15,1193.2,186.97,1356.6,151.61,24.7,1.52,1256.4,145.11,16.5,1.87,1301.3,149.34,27.1,1.65,15.2,1.98,1147.8,120.76,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,76.18,93.86,82.36,83.01,AWI,527,25.1,2.14,26.4,1.64,14.9,2.45,16.1,2.46,1172.8,186.94,1360.1,159.63,24.4,1.52,1205.2,145.03,15.9,1.89,1255.7,149.27,27.2,1.66,15.5,2.03,1133.1,121.27,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,77.57,97.02,84.64,85.29,AWI,542,24.3,2.14,26.2,1.6,12.9,2.44,15.7,2.36,1060.8,186.79,1332.1,160.95,23.9,1.52,1112.4,145.01,14.4,1.86,1155,149.2,25.3,1.65,12.7,1.96,1022,120.57,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,77.94,98.32,85.38,86.06,AWI,547,25.5,2.14,26.9,1.47,15.1,2.45,16.8,2.17,1159.9,186.95,1380.8,141.19,24.9,1.52,1200.7,145.18,16.4,1.87,1247.6,149.46,27.3,1.65,15.1,1.97,1093.3,120.75,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,78.02,98.71,85.53,86.21,AWI,548,24.9,2.14,24,1.56,13.6,2.44,11.4,1.89,1053.5,186.64,1061.3,138.53,24.2,1.52,1105.8,145.03,14.7,1.86,1130.8,149.37,26,1.64,13.1,1.96,996.2,120.5,162,Raw,Lake
PBBVANDA,Neotoma,1812,3501,Pittsburg Basin,-89.18984,38.90363,Eastern North America,78.07,99.02,85.67,86.36,AWI,549,24.6,2.14,24.8,1.64,12.9,2.44,12.7,2.03,1051.5,186.68,1126.1,143.28,24,1.52,1093.5,145.13,13.5,1.86,1111.9,149.42,25.1,1.64,12.1,1.96,953.6,120.72,162,Raw,Lake
