Event,Reference (Event),ID (Site),ID (Dataset),Site,Longitude,Latitude,Cont,Age min [ka],Age max [ka],Age [ka BP] (median),Age [ka BP] (mean),Reference (AgeModel),Depth [m],July WA-PLS,TTT std err [±] (reconstruction error for mean...),July-MAT,TTT std err [±] (reconstruction error for mean...),Annual WA-PLS,TTT std err [±] (reconstruction error for annu...),Annual-MAT,TTT std err [±] (reconstruction error for annu...),Total precip WA-PLS,Precip annual total err [±] (reconstruction error with WA-...),Total precip MAT,Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean from July ...),TTT std err [±] (reconstruction error for mean...),Precip annual total [mm/a] (reconstructed from July tempe...),Precip annual total err [±] (reconstruction error for annu...),MAAT [°C] (reconstructed from annual mea...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual mea...),Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean July tempe...),TTT std err [±] (reconstruction error for mean...),MAAT [°C] (reconstructed from annual pre...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual pre...),Precip annual total err [±] (reconstruction error for annu...),Elevation (masl),Type of data,Location type
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,3.12,10.8,6.64,6.75,AWI,144.8,13,4.24,12.7,3.51,-1.2,3.98,-3.9,3.26,325,161.22,162,132.03,11.3,2.27,322,129.81,-2,1.58,315,118.02,12.7,3.87,-2,3.16,301,48.93,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,3.86,12.16,7.71,7.85,AWI,155.9,13.2,4.24,12.5,3.58,-0.7,3.98,-3.2,3.28,315,161.21,144,131.4,11.2,2.27,316,129.83,-1.8,1.58,318,118.02,13.5,3.87,-0.9,3.16,302,48.92,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,4.81,12.86,8.91,8.92,AWI,167,13.6,4.24,13.1,3.51,-0.4,3.98,-3.3,3.3,341,161.21,150,130.59,11.5,2.27,345,129.84,-1.6,1.58,346,118.06,13.7,3.87,-1.1,3.16,303,48.96,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,5.38,13.78,10.05,9.95,AWI,178.1,12.6,4.24,12.2,3.57,-1.3,3.98,-4,3.33,334,161.22,176,132.22,11.3,2.27,327,129.82,-1.9,1.58,324,118.06,13.2,3.87,-1.4,3.16,308,48.96,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,5.78,14.74,10.99,10.87,AWI,189.2,12.2,4.24,12.1,3.49,-1.9,3.99,-4.1,3.3,358,161.24,178,132.17,11.4,2.27,345,129.84,-2.1,1.58,349,118.08,12.7,3.87,-2.5,3.16,301,49.04,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,6.37,15.81,12.05,11.86,AWI,200.3,11.2,4.24,15.5,3.9,-2.4,3.99,1.7,3.52,352,161.21,456,145.48,11.5,2.27,360,129.8,-1.8,1.59,368,118.04,11.5,3.87,-2.8,3.16,311,49.04,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,7.29,16.28,13.32,12.96,AWI,211.3,13.3,4.24,14.6,3.8,-1.1,3.98,-1,3.48,338,161.21,291,146.65,12.1,2.27,345,129.86,-1.5,1.59,348,118.03,12.7,3.87,-2.2,3.16,306,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,9.23,17.13,14.45,14.15,AWI,222.4,12.7,4.24,13.8,3.76,-1.5,3.98,-1.8,3.5,321,161.18,240,135.97,11.7,2.27,331,129.8,-1.7,1.59,330,118.03,12.7,3.87,-1.9,3.16,305,48.94,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,12.49,17.46,15.6,15.46,AWI,233.5,13.2,4.24,8.9,4.14,-0.7,3.99,-5.6,3.62,301,161.21,227,135.93,11.3,2.27,299,129.86,-1.9,1.59,304,118.16,12.5,3.87,-1.2,3.16,294,48.97,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,14.38,17.91,16.82,16.63,AWI,244.6,11.8,4.24,7.9,4.09,-1.9,3.99,-4,3.71,309,161.19,334,134.52,11.1,2.27,306,129.82,-2,1.59,309,118.09,11.3,3.87,-2.5,3.16,299,48.97,3200,Raw,Lake
